<	all ( bark hippo )	some hippo
<	all ( bark hungry )	some hungry
<	all ( bark non-ape )	some non-ape
<	all ( bark ape )	some ape
<	all ( bark animal )	some animal
<	all ( bark dog )	some dog
<	all ( bark cat )	some cat
<	all ( bark unable )	some unable
<	all ( bark able )	some able
<	all ( bark Thai )	some Thai
<	all ( bark Asian )	some Asian
<	all ( bark bird )	some bird
<	all ( bark crow )	some crow
<	all ( bark sofa )	some sofa
<	all ( bark couch )	some couch
<	all ( bark snail )	some snail
<	all ( bark vertebrate )	some vertebrate
<	all ( bark invertebrate )	some invertebrate
<	all ( bark bark )	some bark
<	all ( bark puppy )	some puppy
<	all ( bark feline )	some feline
<	all ( bark mobile )	some mobile
<	all ( bark immobile )	some immobile
<	all ( bark dead )	some dead
<	all ( bark live )	some live
<	all ( bark European )	some European
<	all ( bark French )	some French
<	all ( bark Parisian )	some Parisian
<	all ( bark human )	some human
<	all ( bark animate )	some animate
<	all ( bark inanimate )	some inanimate
<	all ( bark seat )	some seat
<	all ( bark bench )	some bench
<	all ( bark woody )	some woody
<	all ( bark plant )	some plant
<	all ( bark tree )	some tree
<	all ( bark oak )	some oak
<	all ( bark bush )	some bush
<	all ( bark destructible )	some destructible
<	all ( bark indestructible )	some indestructible
<	all ( bark mammal )	some mammal
