<	( two hippo ) European	( some hippo ) European
<	( two hungry ) European	( some hungry ) European
<	( two non-ape ) European	( some non-ape ) European
<	( two ape ) European	( some ape ) European
<	( two animal ) European	( some animal ) European
<	( two dog ) European	( some dog ) European
<	( two cat ) European	( some cat ) European
<	( two unable ) European	( some unable ) European
<	( two able ) European	( some able ) European
<	( two Asian ) European	( some Asian ) European
<	( two bird ) European	( some bird ) European
<	( two crow ) European	( some crow ) European
<	( two sofa ) European	( some sofa ) European
<	( two couch ) European	( some couch ) European
<	( two snail ) European	( some snail ) European
<	( two vertebrate ) European	( some vertebrate ) European
<	( two invertebrate ) European	( some invertebrate ) European
<	( two bark ) European	( some bark ) European
<	( two puppy ) European	( some puppy ) European
<	( two feline ) European	( some feline ) European
<	( two mobile ) European	( some mobile ) European
<	( two immobile ) European	( some immobile ) European
<	( two dead ) European	( some dead ) European
<	( two live ) European	( some live ) European
<	( two Parisian ) European	( some Parisian ) European
<	( two human ) European	( some human ) European
<	( two animate ) European	( some animate ) European
<	( two inanimate ) European	( some inanimate ) European
<	( two seat ) European	( some seat ) European
<	( two bench ) European	( some bench ) European
<	( two woody ) European	( some woody ) European
<	( two plant ) European	( some plant ) European
<	( two tree ) European	( some tree ) European
<	( two oak ) European	( some oak ) European
<	( two bush ) European	( some bush ) European
<	( two destructible ) European	( some destructible ) European
<	( two indestructible ) European	( some indestructible ) European
<	( two mammal ) European	( some mammal ) European
