% BQ some-no
^	( some hippo ) able	( no hippo ) able	
^	( some hungry ) able	( no hungry ) able	
^	( some non-ape ) able	( no non-ape ) able	
^	( some ape ) able	( no ape ) able	
^	( some animal ) able	( no animal ) able	
^	( some dog ) able	( no dog ) able	
^	( some cat ) able	( no cat ) able	
% ^	( some unable ) able	( no unable ) able	
% ^	( some able ) able	( no able ) able	
^	( some Thai ) able	( no Thai ) able	
^	( some Asian ) able	( no Asian ) able	
^	( some bird ) able	( no bird ) able	
^	( some crow ) able	( no crow ) able	
^	( some sofa ) able	( no sofa ) able	
^	( some couch ) able	( no couch ) able	
^	( some snail ) able	( no snail ) able	
^	( some vertebrate ) able	( no vertebrate ) able	
^	( some invertebrate ) able	( no invertebrate ) able	
^	( some bark ) able	( no bark ) able	
^	( some puppy ) able	( no puppy ) able	
^	( some feline ) able	( no feline ) able	
^	( some mobile ) able	( no mobile ) able	
^	( some immobile ) able	( no immobile ) able	
^	( some dead ) able	( no dead ) able	
^	( some live ) able	( no live ) able	
^	( some European ) able	( no European ) able	
^	( some French ) able	( no French ) able	
^	( some Parisian ) able	( no Parisian ) able	
^	( some human ) able	( no human ) able	
^	( some animate ) able	( no animate ) able	
^	( some inanimate ) able	( no inanimate ) able	
^	( some seat ) able	( no seat ) able	
^	( some bench ) able	( no bench ) able	
^	( some woody ) able	( no woody ) able	
^	( some plant ) able	( no plant ) able	
^	( some tree ) able	( no tree ) able	
^	( some oak ) able	( no oak ) able	
^	( some bush ) able	( no bush ) able	
^	( some destructible ) able	( no destructible ) able	
^	( some indestructible ) able	( no indestructible ) able	
^	( some mammal ) able	( no mammal ) able	
