% BQ+MTI no-some animal
#	( no hippo )	( some animal )	
#	( no hungry )	( some animal )	
#	( no non-ape )	( some animal )	
#	( no ape )	( some animal )	
#	( no dog )	( some animal )	
#	( no cat )	( some animal )	
#	( no unable )	( some animal )	
#	( no able )	( some animal )	
#	( no Thai )	( some animal )	
#	( no Asian )	( some animal )	
#	( no bird )	( some animal )	
#	( no crow )	( some animal )	
#	( no sofa )	( some animal )	
#	( no couch )	( some animal )	
#	( no snail )	( some animal )	
#	( no vertebrate )	( some animal )	
#	( no invertebrate )	( some animal )	
#	( no bark )	( some animal )	
#	( no puppy )	( some animal )	
#	( no feline )	( some animal )	
|	( no mobile )	( some animal )	
#	( no immobile )	( some animal )	
#	( no dead )	( some animal )	
#	( no live )	( some animal )	
#	( no European )	( some animal )	
#	( no French )	( some animal )	
#	( no Parisian )	( some animal )	
#	( no human )	( some animal )	
#	( no animate )	( some animal )	
#	( no inanimate )	( some animal )	
#	( no seat )	( some animal )	
#	( no bench )	( some animal )	
#	( no woody )	( some animal )	
#	( no plant )	( some animal )	
#	( no tree )	( some animal )	
#	( no oak )	( some animal )	
#	( no bush )	( some animal )	
|	( no destructible )	( some animal )	
#	( no indestructible )	( some animal )	
#	( no mammal )	( some animal )	
