=	1	1	?
#	1	3	?
|	1	5	?
#	1	7	?
#	1	8	?
<	1	13	?
#	1	33	?
#	1	39	?
#	1	51	?
<	1	58	?
#	1	67	?
#	2	16	?
#	2	20	?
#	2	35	?
#	2	39	?
#	3	1	?
#	4	33	?
#	4	44	?
#	4	59	?
|	5	1	?
=	6	6	?
=	6	8	?
#	6	34	?
<	6	49	?
#	6	53	?
#	6	54	?
#	6	55	?
v	6	66	?
>	6	73	?
#	7	1	?
#	8	1	?
=	8	6	?
=	8	8	?
>	8	38	?
>	8	60	?
#	8	64	?
v	8	66	?
#	8	67	?
#	8	70	?
#	9	33	?
#	11	14	?
#	12	20	?
#	12	67	?
>	13	1	?
#	13	64	?
#	14	11	?
v	14	18	?
|	14	46	?
|	14	53	?
#	14	64	?
#	14	75	?
=	15	26	?
|	15	51	?
#	15	68	?
#	16	2	?
#	16	25	?
#	16	29	?
#	16	31	?
#	16	32	?
#	16	38	?
>	16	41	?
#	16	44	?
#	16	46	?
#	16	54	?
v	16	59	?
v	16	62	?
#	16	66	?
#	16	68	?
#	16	69	?
#	16	73	?
=	17	69	?
v	18	14	?
#	18	33	?
>	18	37	?
#	19	67	?
#	20	2	?
#	20	12	?
=	20	20	?
<	20	33	?
#	20	39	?
#	20	51	?
#	20	59	?
#	20	66	?
#	21	30	?
<	21	49	?
#	21	60	?
#	21	64	?
#	21	66	?
#	21	73	?
>	21	79	?
#	22	38	?
^	23	69	?
=	24	24	?
#	24	26	?
#	24	30	?
#	24	39	?
#	24	54	?
#	24	76	?
#	25	16	?
=	25	25	?
#	25	30	?
<	25	44	?
<	25	54	?
#	25	55	?
#	25	56	?
#	25	64	?
#	25	78	?
=	26	15	?
#	26	24	?
#	26	30	?
#	26	33	?
#	26	38	?
v	26	39	?
^	26	45	?
>	26	53	?
^	26	71	?
v	27	34	?
#	29	16	?
#	29	44	?
|	29	46	?
#	29	53	?
#	29	54	?
|	29	55	?
#	29	59	?
#	29	64	?
#	29	69	?
#	30	21	?
#	30	24	?
#	30	25	?
#	30	26	?
#	30	31	?
#	30	38	?
#	30	46	?
#	30	47	?
#	30	53	?
#	30	54	?
#	30	68	?
|	30	70	?
#	31	16	?
#	31	30	?
=	31	31	?
#	31	47	?
|	31	66	?
<	31	68	?
#	32	16	?
v	32	34	?
#	32	35	?
#	32	38	?
#	32	47	?
#	32	55	?
>	32	66	?
#	32	70	?
#	33	1	?
#	33	4	?
#	33	9	?
#	33	18	?
>	33	20	?
#	33	26	?
<	33	34	?
#	33	39	?
#	33	44	?
#	33	46	?
#	33	47	?
>	33	54	?
#	33	57	?
#	34	6	?
v	34	27	?
v	34	32	?
>	34	33	?
#	34	35	?
#	34	47	?
v	34	50	?
#	34	51	?
#	34	53	?
v	34	67	?
#	34	68	?
#	34	69	?
#	34	73	?
#	34	75	?
#	35	2	?
#	35	32	?
#	35	34	?
=	35	35	?
#	35	40	?
^	35	47	?
#	35	51	?
#	35	53	?
|	35	54	?
#	35	59	?
#	35	67	?
#	35	73	?
<	37	18	?
<	38	8	?
#	38	16	?
#	38	22	?
#	38	26	?
#	38	30	?
#	38	32	?
#	38	42	?
#	38	44	?
#	38	66	?
v	38	69	?
#	39	1	?
#	39	2	?
#	39	20	?
#	39	24	?
v	39	26	?
#	39	33	?
=	39	39	?
>	39	66	?
#	39	68	?
#	39	69	?
#	39	73	?
#	40	35	?
=	40	40	?
#	40	44	?
^	40	67	?
#	40	73	?
<	41	16	?
#	41	46	?
#	42	38	?
v	42	43	?
v	43	42	?
=	43	43	?
v	43	55	?
#	44	4	?
#	44	16	?
>	44	25	?
#	44	29	?
#	44	33	?
#	44	38	?
#	44	40	?
=	44	44	?
#	44	57	?
#	44	59	?
#	44	68	?
>	44	75	?
^	45	26	?
>	45	51	?
|	46	14	?
#	46	16	?
|	46	29	?
#	46	30	?
#	46	33	?
#	46	41	?
=	46	46	?
#	46	54	?
=	46	55	?
#	46	59	?
#	46	62	?
#	47	30	?
#	47	31	?
#	47	32	?
#	47	33	?
#	47	34	?
^	47	35	?
=	47	47	?
#	47	53	?
#	47	59	?
#	47	64	?
#	47	69	?
>	49	6	?
>	49	21	?
v	49	51	?
v	50	34	?
#	50	74	?
#	51	1	?
|	51	15	?
#	51	20	?
#	51	34	?
#	51	35	?
<	51	45	?
v	51	49	?
=	51	51	?
<	51	64	?
#	51	68	?
#	51	69	?
<	51	71	?
#	52	64	?
#	53	6	?
|	53	14	?
<	53	26	?
#	53	29	?
#	53	30	?
#	53	34	?
#	53	35	?
#	53	47	?
=	53	53	?
#	53	55	?
#	53	68	?
#	54	6	?
#	54	16	?
#	54	24	?
>	54	25	?
#	54	29	?
#	54	30	?
<	54	33	?
|	54	35	?
#	54	46	?
#	54	55	?
#	54	59	?
#	54	64	?
#	54	75	?
#	55	6	?
#	55	25	?
|	55	29	?
#	55	32	?
v	55	43	?
=	55	46	?
#	55	53	?
#	55	54	?
#	55	59	?
#	55	64	?
#	56	25	?
#	57	33	?
#	57	44	?
#	57	59	?
>	58	1	?
