=	0	0	?
#	0	12	?
#	0	16	?
#	0	26	?
^	0	29	?
=	0	33	?
#	0	41	?
#	0	43	?
#	1	36	?
|	1	76	?
=	2	2	?
#	2	36	?
|	2	59	?
#	2	74	?
#	2	75	?
^	2	78	?
v	3	9	?
^	3	11	?
^	3	34	?
>	3	40	?
#	3	76	?
=	4	4	?
#	5	29	?
>	5	47	?
#	6	7	?
#	6	8	?
#	6	9	?
#	6	23	?
#	6	29	?
#	6	33	?
#	6	35	?
#	6	41	?
#	6	49	?
#	6	67	?
#	7	6	?
#	7	13	?
#	7	31	?
#	7	47	?
#	8	6	?
v	9	3	?
#	9	6	?
#	9	22	?
#	9	26	?
#	9	36	?
#	9	38	?
|	9	59	?
#	9	61	?
v	9	69	?
^	11	3	?
^	11	69	?
#	12	0	?
#	12	31	?
#	12	38	?
#	12	57	?
#	12	67	?
#	13	7	?
=	13	13	?
#	13	31	?
#	13	38	?
#	13	49	?
|	13	55	?
#	14	53	?
>	15	18	?
#	16	0	?
#	16	30	?
#	16	31	?
#	16	38	?
#	16	67	?
<	18	15	?
=	18	18	?
<	18	30	?
#	20	38	?
#	20	43	?
#	20	44	?
#	20	76	?
#	21	70	?
#	22	9	?
#	22	26	?
#	22	65	?
#	22	68	?
#	22	73	?
#	23	6	?
#	26	0	?
#	26	9	?
#	26	22	?
=	26	26	?
#	26	37	?
#	26	41	?
^	26	47	?
#	26	49	?
#	26	50	?
#	26	56	?
#	26	78	?
#	28	63	?
^	29	0	?
#	29	5	?
#	29	6	?
#	30	16	?
>	30	18	?
#	31	7	?
#	31	12	?
#	31	13	?
#	31	16	?
#	31	37	?
<	31	47	?
#	31	50	?
#	31	59	?
=	33	0	?
#	33	6	?
^	34	3	?
^	34	69	?
#	35	6	?
#	35	40	?
#	35	59	?
#	35	61	?
#	35	78	?
#	36	1	?
#	36	2	?
#	36	9	?
=	36	36	?
#	36	40	?
#	36	43	?
#	36	64	?
|	36	67	?
#	36	76	?
#	36	78	?
>	36	79	?
#	37	26	?
#	37	31	?
#	37	43	?
>	37	51	?
v	37	53	?
v	37	61	?
#	37	74	?
#	37	75	?
#	37	78	?
#	37	79	?
#	38	9	?
#	38	12	?
#	38	13	?
#	38	16	?
#	38	20	?
#	38	40	?
#	38	47	?
#	38	70	?
#	38	74	?
<	40	3	?
#	40	35	?
#	40	36	?
#	40	38	?
=	40	40	?
#	40	43	?
#	40	66	?
<	40	69	?
#	40	73	?
#	40	76	?
#	41	0	?
#	41	6	?
#	41	26	?
=	41	41	?
#	41	47	?
>	41	53	?
^	41	67	?
>	41	74	?
#	43	0	?
#	43	20	?
#	43	36	?
#	43	37	?
#	43	40	?
=	43	43	?
#	43	56	?
v	43	58	?
#	43	59	?
#	43	68	?
#	43	70	?
#	43	76	?
#	43	78	?
#	44	20	?
<	47	5	?
#	47	7	?
^	47	26	?
>	47	31	?
#	47	38	?
#	47	41	?
=	47	47	?
#	47	51	?
#	47	56	?
#	47	67	?
#	47	73	?
v	48	56	?
#	49	6	?
#	49	13	?
#	49	26	?
#	49	50	?
#	49	74	?
#	49	75	?
#	50	26	?
#	50	31	?
#	50	49	?
=	50	50	?
<	51	37	?
#	51	47	?
=	51	51	?
<	51	76	?
#	51	78	?
#	53	14	?
v	53	37	?
<	53	41	?
#	53	56	?
#	53	61	?
#	53	71	?
#	53	76	?
|	55	13	?
=	55	55	?
#	56	26	?
#	56	43	?
#	56	47	?
v	56	48	?
#	56	53	?
v	56	60	?
#	56	68	?
#	56	75	?
#	57	12	?
#	57	73	?
v	58	43	?
=	58	62	?
#	58	79	?
|	59	2	?
|	59	9	?
#	59	31	?
#	59	35	?
#	59	43	?
=	59	59	?
#	59	61	?
v	60	56	?
#	61	9	?
#	61	35	?
v	61	37	?
#	61	53	?
#	61	59	?
=	61	61	?
=	62	58	?
#	62	75	?
#	63	28	?
#	64	36	?
|	64	76	?
#	65	22	?
#	66	40	?
#	67	6	?
#	67	12	?
#	67	16	?
|	67	36	?
^	67	41	?
#	67	47	?
=	67	67	?
#	67	76	?
#	68	22	?
#	68	43	?
#	68	56	?
=	68	68	?
#	68	73	?
#	68	75	?
v	69	9	?
^	69	11	?
^	69	34	?
>	69	40	?
#	69	76	?
#	70	21	?
#	70	38	?
#	70	43	?
#	70	76	?
#	71	53	?
#	72	73	?
#	73	22	?
#	73	40	?
#	73	47	?
#	73	57	?
#	73	68	?
#	73	72	?
=	73	73	?
#	73	74	?
#	74	2	?
#	74	37	?
#	74	38	?
<	74	41	?
#	74	49	?
#	74	73	?
=	74	74	?
#	74	76	?
#	75	2	?
#	75	37	?
#	75	49	?
#	75	56	?
#	75	62	?
#	75	68	?
|	76	1	?
#	76	3	?
#	76	20	?
#	76	36	?
#	76	40	?
#	76	43	?
>	76	51	?
#	76	53	?
|	76	64	?
#	76	67	?
#	76	69	?
#	76	70	?
#	76	74	?
=	76	76	?
v	76	78	?
^	78	2	?
#	78	26	?
#	78	35	?
#	78	36	?
#	78	37	?
#	78	43	?
#	78	51	?
v	78	76	?
=	78	78	?
#	78	79	?
<	79	36	?
#	79	37	?
#	79	58	?
#	79	78	?
