|	European hippo	not hippo
|	European hungry	not hungry
|	European non-ape	not non-ape
|	European ape	not ape
|	European animal	not animal
|	European dog	not dog
|	European cat	not cat
|	European unable	not unable
|	European able	not able
|	European Thai	not Thai
|	European Asian	not Asian
|	European bird	not bird
|	European crow	not crow
|	European sofa	not sofa
|	European couch	not couch
|	European snail	not snail
|	European vertebrate	not vertebrate
|	European invertebrate	not invertebrate
|	European bark	not bark
|	European puppy	not puppy
|	European feline	not feline
|	European mobile	not mobile
|	European immobile	not immobile
|	European dead	not dead
|	European live	not live
|	European European	not European
|	European French	not French
|	European Parisian	not Parisian
|	European human	not human
|	European animate	not animate
|	European inanimate	not inanimate
|	European seat	not seat
|	European bench	not bench
|	European woody	not woody
|	European plant	not plant
|	European tree	not tree
|	European oak	not oak
|	European bush	not bush
|	European destructible	not destructible
|	European indestructible	not indestructible
|	European mammal	not mammal
