<	( three hippo ) European	( two hippo ) European
<	( three hungry ) European	( two hungry ) European
<	( three non-ape ) European	( two non-ape ) European
<	( three ape ) European	( two ape ) European
<	( three animal ) European	( two animal ) European
<	( three dog ) European	( two dog ) European
<	( three cat ) European	( two cat ) European
<	( three unable ) European	( two unable ) European
<	( three able ) European	( two able ) European
<	( three Asian ) European	( two Asian ) European
<	( three bird ) European	( two bird ) European
<	( three crow ) European	( two crow ) European
<	( three sofa ) European	( two sofa ) European
<	( three couch ) European	( two couch ) European
<	( three snail ) European	( two snail ) European
<	( three vertebrate ) European	( two vertebrate ) European
<	( three invertebrate ) European	( two invertebrate ) European
<	( three bark ) European	( two bark ) European
<	( three puppy ) European	( two puppy ) European
<	( three feline ) European	( two feline ) European
<	( three mobile ) European	( two mobile ) European
<	( three immobile ) European	( two immobile ) European
<	( three dead ) European	( two dead ) European
<	( three live ) European	( two live ) European
<	( three Parisian ) European	( two Parisian ) European
<	( three human ) European	( two human ) European
<	( three animate ) European	( two animate ) European
<	( three inanimate ) European	( two inanimate ) European
<	( three seat ) European	( two seat ) European
<	( three bench ) European	( two bench ) European
<	( three woody ) European	( two woody ) European
<	( three plant ) European	( two plant ) European
<	( three tree ) European	( two tree ) European
<	( three oak ) European	( two oak ) European
<	( three bush ) European	( two bush ) European
<	( three destructible ) European	( two destructible ) European
<	( three indestructible ) European	( two indestructible ) European
<	( three mammal ) European	( two mammal ) European
