<	( all hippo ) European	( some hippo ) European
<	( all hungry ) European	( some hungry ) European
<	( all non-ape ) European	( some non-ape ) European
<	( all ape ) European	( some ape ) European
<	( all animal ) European	( some animal ) European
<	( all dog ) European	( some dog ) European
<	( all cat ) European	( some cat ) European
<	( all unable ) European	( some unable ) European
<	( all able ) European	( some able ) European
<	( all Asian ) European	( some Asian ) European
<	( all bird ) European	( some bird ) European
<	( all crow ) European	( some crow ) European
<	( all sofa ) European	( some sofa ) European
<	( all couch ) European	( some couch ) European
<	( all snail ) European	( some snail ) European
<	( all vertebrate ) European	( some vertebrate ) European
<	( all invertebrate ) European	( some invertebrate ) European
<	( all able ) European	( some able ) European
<	( all puppy ) European	( some puppy ) European
<	( all feline ) European	( some feline ) European
<	( all mobile ) European	( some mobile ) European
<	( all immobile ) European	( some immobile ) European
<	( all dead ) European	( some dead ) European
<	( all live ) European	( some live ) European
<	( all Parisian ) European	( some Parisian ) European
<	( all human ) European	( some human ) European
<	( all animate ) European	( some animate ) European
<	( all inanimate ) European	( some inanimate ) European
<	( all seat ) European	( some seat ) European
<	( all bench ) European	( some bench ) European
<	( all woody ) European	( some woody ) European
<	( all plant ) European	( some plant ) European
<	( all tree ) European	( some tree ) European
<	( all oak ) European	( some oak ) European
<	( all bush ) European	( some bush ) European
<	( all destructible ) European	( some destructible ) European
<	( all indestructible ) European	( some indestructible ) European
<	( all mammal ) European	( some mammal ) European
